id,Title,Latitude,Longitude
YUFF-0001,Ðerdap,44.5289,21.9758
YUFF-0002,Fruška Gora,45.15,19.7166
YUFF-0003,Kopaonik,43.2694,20.8247
YUFF-0004,Šar-planina,42.0833,20.8333
YUFF-0005,Tara,43.8477,19.4658
YUFF-0006,Avala,44.6905,20.5142
YUFF-0007,Begečka jama,45.2352,19.6205
YUFF-0008,Dolina Pčinje,42.3249,21.8926
YUFF-0009,Golija,43.29,20.322
YUFF-0010,Grmija,42.6751,21.2112
YUFF-0011,Jegrička,45.3936,20.1006
YUFF-0012,Kamaraš,46.1622,19.9846
YUFF-0013,Klisura reke Gradac,44.2021,19.8605
YUFF-0014,Kosmaj,44.4713,20.5749
YUFF-0015,Lepterija – Sokograd,43.6353,21.8874
YUFF-0016,Miruša,42.5277,20.5887
YUFF-0017,Ovčarsko-kablarska klisura,43.9005,20.1888
YUFF-0018,Palić,46.0976,19.7562
YUFF-0019,Ponjavica,44.7185,20.7935
YUFF-0020,Sićevačka klisura,43.3138,22.1342
YUFF-0021,Subotička peščara,46.1574,19.6805
YUFF-0022,Stara planina,43.2507,22.6784
YUFF-0023,Stara Tisa kod Bisernog ostrva,45.4871,20.0807
YUFF-0024,Šargan – Mokra Gora,43.8180,19.4783
YUFF-0025,Tikvara,45.2373,19.3448
YUFF-0026,Veliko ratno ostrvo,44.8321,20.4266
YUFF-0027,Vlasina,42.7374,22.3254
YUFF-0028,Vršačke planine,45.1245,21.4004
YUFF-0029,Bagremara,45.2779,19.3675
YUFF-0030,Danilova kosa,44.3721,19.2767
YUFF-0031,Deliblatska peščara,44.8938,21.1120
YUFF-0032,Gornje Podunavlje,45.7712,18.9260
YUFF-0033,Jelasnicka klisura,43.2792,22.0621
YUFF-0034,Karađorđevo,45.2764,19.2443
YUFF-0035,Klisura reke Trešnjice,44.1442,19.5398
YUFF-0036,Koviljsko-petrovaradinski Rit,45.1880,20.0137
YUFF-0037,Kraljevac,44.8498,21.0078
YUFF-0038,Ludaško jezero,46.1001,19.8189
YUFF-0039,Obedska bara,44.7169,19.9941
YUFF-0040,Pašnjaci velike droplje,45.9012,20.3044
YUFF-0041,Selevenjske pustare,46.1467,19.8912
YUFF-0042,Slano Kopovo,45.6140,20.2230
YUFF-0043,Stari Begej – Carska Bara,45.2591,20.3886
YUFF-0044,Uvac,43.4220,19.9309
YUFF-0045,Venerina padina,42.9326,22.6022
YUFF-0046,Zasavica,44.9430,19.5109
YUFF-0047,Okanj bara,45.4859,20.2227
YUFF-0048,Titelski breg,45.2084,20.3090
YUFF-0049,Rusanda,45.5355,20.2694
YUFF-0050,Mali vršački rit,45.1615,21.3455
YUFF-0051,Kučaj – Beljanica,44.0800,21.8278
YUFF-0052,Forland leve obale Dunava kod Beograda,44.9007,20.3610
YUFF-0053,Varoš ,45.0356,19.1679
YUFF-0054,Vinična,44.9389,19.1590
YUFF-0055,Majzecova bašta,44.9353,19.1827
YUFF-0056,Rađenovci,44.9005,19.0160
YUFF-0057,Stara Vratična,44.9153,19.2413
YUFF-0058,Košutnjak,44.773,20.4316
YUFF-0059,Ivanovačka ada,44.7242,20.6951
YUFF-0060,Mustafa,44.3635,21.8821
YUFF-0061,Felješana,44.3311,21.8799
YUFF-0062,Bukovo,44.2179,22.4939
YUFF-0063,Crna reka,44.1238,19.9872
YUFF-0064,Čalački potok,44.1123,20.0101
YUFF-0065,Velika pleć – Vražji vir,44.1043,20.0099
YUFF-0066,Zabalac,44.1184,20.0468
YUFF-0067,Veliki šturac,44.1253,20.5465
YUFF-0068,Brzansko moravište,44.1207,21.1526
YUFF-0069,Busovata,44.1236,21.7464
YUFF-0070,Iznad Tatalije,43.9522,19.7885
YUFF-0071,Tesne jaruge,43.9351,19.7751
YUFF-0072,Zelenika,43.9235,19.7884
YUFF-0073,Klisura Đetinje,43.8451,19.7671
YUFF-0074,Kalenić,43.7828,20.9814
YUFF-0075,Mala jasenova glava,43.7918,21.6915
YUFF-0076,Rtanj,43.7761,21.8924
YUFF-0077,Klisura reke Mileševke,43.3506,19.7619
YUFF-0078,Paljevine,43.4186,20.0549
YUFF-0079,Goč – Gvozdac,43.5589,20.7507
YUFF-0080,Vrh Željina - Pločka čuka,43.4744,20.8050
YUFF-0081,Prokop,43.422,21.3772
YUFF-0082,Gutavica,43.0443,20.0631
YUFF-0083,Suva planina,43.1148,22.2561
YUFF-0084,Jerma,42.9612,22.6184
YUFF-0085,Zeleničje,42.8887,22.2191
YUFF-0086,Kukavica,42.7868,21.9850
YUFF-0087,Ritovi donjeg Potisja,45.3772,20.2182
YUFF-0088,Zlatibor,43.6479,19.6779
YUFF-0089,Prugovo,44.564,21.1891
YUFF-0090,Karaš - Nera,44.8714,21.3042
YUFF-0091,Zaovine,43.8667,19.3916
YUFF-0092,Dolina malog Rzava,43.6019,20.0030
YUFF-0093,Ozrenske livade,43.6208,21.8671
YUFF-0094,Kamena gora,43.2602,19.6237
YUFF-0095,Ozren - Jadovnik,43.2420,19.7875
